File Name,Main mission,Sub mission,Academic Summary,Link sub folder
ระบบสารสนเทศวิเคราะห์ผลสัมฤทธิ์ระดับชาติ (O-NET): จังหวัดเชียงใหม่,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),การพัฒนาเว็บแอปพลิเคชันสารสนเทศอัจฉริยะเพื่อวิเคราะห์และเปรียบเทียบแนวโน้มผลสอบ O-NET ย้อนหลัง 4 ปี (2565-2568) ของ ศธจ.เชียงใหม่ จำแนกรายสังกัดและมาตรฐานการเรียนรู้ ช่วยให้ศึกษานิเทศก์ใช้เป็นเครื่องมือชี้เป้าในการนิเทศเชิงรุกได้อย่างแม่นยำ,https://ais-pre-lelv2qehhaoemuuh7e56bb-958605973671.asia-southeast1.run.app/
คลังกิจกรรมการเรียนรู้ส่งเสริมพหุปัญญาล้านนา,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),แพลตฟอร์ม Web application คลังนวัตกรรมการสอนระดับประถมศึกษา (ป.4-6) ที่บูรณาการ Soft Power ล้านนาเข้ากับพหุปัญญา มีระบบสืบค้นและคัดกรองกิจกรรม (Filter) ตามระดับชั้น บริบทท้องถิ่น และมิติพหุปัญญาหลัก เพื่อให้ครูผู้สอนเข้าถึงแผนการจัดการเรียนรู้และไอเดียการประเมินผลได้สะดวก,https://cm-mi-p4-p6.vercel.app/
ระบบประเมินและเรียนรู้องค์ประกอบ Active Learning,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),"ระบบสารสนเทศดิจิทัล ""Active Learning @ CMPEO"" สนับสนุนการประเมินตนเองของครูและผู้บริหารในการขับเคลื่อนการจัดการเรียนรู้เชิงรุกเชิงพื้นที่ (เชียงใหม่ พ.ศ. 2568-2569) ประมวลผลจากงานวิจัยเชิงโครงสร้างสถิติเพื่อยกระดับขีดความสามารถการสอนอย่างยั่งยืน",https://active-learning-cmpeo.vercel.app/
ครูพร้อมใช้ (AI Prompt Library),กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),"แพลตฟอร์ม ""ครูพร้อมใช้ (AI Prompt Library)"" คลังคำสั่งปฏิสัมพันธ์ (Prompt) สำหรับครูเพื่อใช้ AI เจนเนอเรชันสร้างสื่อการสอนและเครื่องมือประเมินสมรรถนะ/พหุปัญญาผู้เรียนรายบุคคล มีระบบแยกหมวดหมู่อาชีพ วัฒนธรรม และปุ่มคัดลอกโค้ดไปใช้ได้ทันที",https://sornorpoom.github.io/prompt-for-digital-art/
ระบบสารสนเทศ School Learning Map,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),ระบบสารสนเทศในรูปแบบ Web Application (Google Apps Script) แสดงผลในลักษณะ Matrix Dashboard เพื่อติดตามและกำกับสถานะการส่งภารกิจ/ชิ้นงานของนักเรียนจำแนกตามรายเดือนและระดับชั้น (ป.1 - ป.5) พร้อมระบบคัดกรองข้อมูล (Filter) และลิงก์ดาวน์โหลดชิ้นงานรายบุคคล ช่วยหนุนเสริมการนิเทศติดตามเชิงพื้นที่ได้อย่างเป็นระบบ,https://script.google.com/macros/s/AKfycbwUcxONWi80s_iuiN6Qzodt5nHw-LC0DhdgXCIPpED_Dmy7ZRX8UKn69cIMHeDMiImIgQ/exec
Chiang Mai Tourism Poster Collection from teacher,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),Web Application รูปแบบ Matrix Dashboard ติดตามสถานะการส่งภารกิจของครูและนักเรียนแยกตามรายเดือนและระดับชั้น (ป.1 - ป.5) พร้อมระบบ Filter คัดกรองและลิงก์ดาวน์โหลดชิ้นงานรายบุคคล หนุนเสริมกระบวนการกำกับติดตามและประเมินผลเชิงพื้นที่ได้อย่างเป็นระบบ,https://script.google.com/macros/s/AKfycbyFjb83q8KJs1j_xGOyM-j43BTTjStyhfB_xurWpDi2PhH-AX_jtJ8CSSamBqO5xxxU/exec
Chiang Mai Tourism Poster Collection from student,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),ระบบสารสนเทศ Web Application (Google Apps Script) รูปแบบ Matrix Dashboard แสดงสถานการณ์ส่งภารกิจแยกรายเดือนและระดับชั้น (ป.1 - ป.5) พร้อมระบบคัดกรองตัวเลือกหลักและลิงก์ดาวน์โหลดชิ้นงานรายบุคคล ช่วยหนุนเสริมการติดตามและประเมินผลสัมฤทธิ์เชิงพื้นที่,https://script.google.com/macros/s/AKfycbxIySS85ZhJ0gJ66asQDTU2hhWG-3OMAqZJxaZNp8b2hMEXiVY2xjgWH2DsJyzIs9cYsg/exec
คลังฐานข้อมูลนวัตกรรมและรายงานการวิจัยในชั้นเรียน,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),หน้าแรกของระบบสารสนเทศ (Main Platform Interface) แพลตฟอร์มบูรณาการสื่อดิจิทัลและการศึกษาเชิงพื้นที่ มีระบบสมาชิก สถิติจำนวนผลงานแยกรายอำเภอในจังหวัดเชียงใหม่ และส่วนแสดงผลงานเด่นเพื่อสร้างแรงบันดาลใจในการเรียนรู้,https://script.google.com/macros/s/AKfycbzQcL0qvQ2_YFSO5xc8JTFujJPqUPqbIKUrdT_JqR_dzOUvH15ux8WJxKgrq7AVda8O/exec
คลังวิเคราะห์ตัวชี้วัดบูรณาการและกิจกรรม,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,4.4 แพลตฟอร์มและระบบสารสนเทศอัจฉริยะบนเครือข่ายอินเทอร์เน็ต (Website/Dashboard),ระบบสารสนเทศ Web-based Dashboard เพื่อการบริหารจัดการหลักสูตร โดยนำเสนอผลการวิเคราะห์และเชื่อมโยงตัวชี้วัดระหว่างทางและตัวชี้วัดปลายทาง (กลุ่มสาระฯ ภาษาไทย ชั้น ป.1) บูรณาการเข้ากับกิจกรรมและเทศกาลสำคัญตามปฏิทินตลอดปีการศึกษา ช่วยให้ครูผู้ออกแบบหน่วยการเรียนรู้สามารถสืบค้นและนำไปใช้จัดการเรียนการเรียนสอนได้อย่างเป็นระบบ,https://subject-activity-analysis-cmpeo.vercel.app/
Storybook การวิจัยในชั้นรียน,กลุ่มที่ 4: การพัฒนาระบบนิเวศการเรียนรู้ดิจิทัลและเทคโนโลยีสารสนเทศเพื่อการนิเทศการศึกษา,"4.5 ห้องเรียนดิจิทัลและแพลตฟอร์มสื่อมัลติมีเดียออนไลน์ (Digital Classrooms, Video & Streaming Platforms)",เป็นการนำเสนอแพลตฟอร์มห้องเรียนดิจิทัลและสื่อมัลติมีเดียออนไลน์เพื่อสนับสนุนการจัดกิจกรรมการเรียนรู้และการนิเทศทางไกล นวัตกรรมนี้ช่วยลดข้อจำกัดเชิงพื้นที่ เพิ่มความยืดหยุ่นในการเข้าถึงองค์ความรู้แก่ครูผู้สอน และเป็นเครื่องมือขับเคลื่อนการนิเทศในยุคดิจิทัลอย่างเป็นระบบ,https://classroom-storybook-portal.vercel.app/
